market,stock,company,date,close,volume,open,high,low
NASDAQ,AMZN,Amazon,09/13/2024,186.49,26495350,187.00,188.50,185.91
NASDAQ,AMZN,Amazon,09/12/2024,187.00,33622480,184.80,187.41,183.54
NASDAQ,AMZN,Amazon,09/11/2024,184.52,42564700,180.10,184.99,175.73
NASDAQ,AMZN,Amazon,09/10/2024,179.55,36233800,177.49,180.50,176.79
NASDAQ,AMZN,Amazon,09/09/2024,175.40,29037360,174.53,175.85,173.51
NASDAQ,AMZN,Amazon,09/06/2024,171.39,41466540,177.24,178.38,171.16
NASDAQ,AMZN,Amazon,09/05/2024,177.89,40170530,175.00,179.88,175.00
NASDAQ,AMZN,Amazon,09/04/2024,173.33,30309230,174.48,175.98,172.54
NASDAQ,AMZN,Amazon,09/03/2024,176.25,37817510,177.55,178.26,175.26
NASDAQ,AMZN,Amazon,08/30/2024,178.50,43429360,172.78,178.90,172.60
NASDAQ,AMZN,Amazon,08/29/2024,172.12,26407820,173.22,174.29,170.81
NASDAQ,AMZN,Amazon,08/28/2024,170.80,29045030,173.69,173.69,168.92
NASDAQ,AMZN,Amazon,08/27/2024,173.12,29841980,174.15,174.89,172.25
NASDAQ,AMZN,Amazon,08/26/2024,175.50,22366240,176.70,177.47,174.30
NASDAQ,AMZN,Amazon,08/23/2024,177.04,29150090,177.34,178.97,175.24
NASDAQ,AMZN,Amazon,08/22/2024,176.13,32047480,181.38,181.47,175.68
NASDAQ,AMZN,Amazon,08/21/2024,180.11,35599120,179.92,182.39,178.89
NASDAQ,AMZN,Amazon,08/20/2024,178.88,26255200,177.92,179.01,177.43
NASDAQ,AMZN,Amazon,08/19/2024,178.22,31129810,177.64,178.30,176.16
NASDAQ,AMZN,Amazon,08/16/2024,177.06,31489180,177.04,178.34,176.26
NASDAQ,AMZN,Amazon,08/15/2024,177.59,51698510,174.86,177.91,173.99
NASDAQ,AMZN,Amazon,08/14/2024,170.10,28843800,172.11,172.28,168.86
NASDAQ,AMZN,Amazon,08/13/2024,170.23,39237920,167.81,171.04,167.10
NASDAQ,AMZN,Amazon,08/12/2024,166.80,30072790,168.14,168.55,166.11
NASDAQ,AMZN,Amazon,08/09/2024,166.94,36401050,166.40,168.55,165.85
NASDAQ,AMZN,Amazon,08/08/2024,165.80,44616210,165.17,166.69,162.55
NASDAQ,AMZN,Amazon,08/07/2024,162.77,48408240,166.55,167.58,161.43
NASDAQ,AMZN,Amazon,08/06/2024,161.93,59950830,161.71,165.08,158.54
NASDAQ,AMZN,Amazon,08/05/2024,161.02,83149440,154.21,162.96,151.61
NASDAQ,AMZN,Amazon,08/02/2024,167.90,141448400,166.75,168.77,160.55
NASDAQ,AMZN,Amazon,08/01/2024,184.07,70435640,189.29,190.60,181.87
NASDAQ,AMZN,Amazon,07/31/2024,186.98,41667330,185.05,187.94,184.46
NASDAQ,AMZN,Amazon,07/30/2024,181.71,39508570,184.72,185.86,179.38
NASDAQ,AMZN,Amazon,07/29/2024,183.20,33270120,183.84,184.75,182.38
NASDAQ,AMZN,Amazon,07/26/2024,182.50,29505960,180.39,183.19,180.24
NASDAQ,AMZN,Amazon,07/25/2024,179.85,44464160,182.91,183.90,176.80
NASDAQ,AMZN,Amazon,07/24/2024,180.83,41532360,183.20,185.45,180.41
NASDAQ,AMZN,Amazon,07/23/2024,186.41,47537670,184.10,189.39,183.56
NASDAQ,AMZN,Amazon,07/22/2024,182.55,39931920,185.00,185.06,182.48
NASDAQ,AMZN,Amazon,07/19/2024,183.13,43081830,181.14,184.93,180.11
NASDAQ,AMZN,Amazon,07/18/2024,183.75,51043630,189.59,189.68,181.45
NASDAQ,AMZN,Amazon,07/17/2024,187.93,48076140,191.35,191.58,185.99
NASDAQ,AMZN,Amazon,07/16/2024,193.02,33994710,195.59,196.62,192.24
NASDAQ,AMZN,Amazon,07/15/2024,192.72,40683230,194.56,196.19,190.83
NASDAQ,AMZN,Amazon,07/12/2024,194.49,30598530,194.80,196.47,193.83
NASDAQ,AMZN,Amazon,07/11/2024,195.05,44565040,200.09,200.27,192.86
NASDAQ,AMZN,Amazon,07/10/2024,199.79,32883750,200.00,200.11,197.69
NASDAQ,AMZN,Amazon,07/09/2024,199.34,32756740,199.40,200.57,199.05
NASDAQ,AMZN,Amazon,07/08/2024,199.29,34767260,200.04,201.20,197.96
NASDAQ,AMZN,Amazon,07/05/2024,200.00,39858890,198.65,200.55,198.17
NASDAQ,AMZN,Amazon,07/03/2024,197.59,31597930,199.94,200.03,196.76
NASDAQ,AMZN,Amazon,07/02/2024,200.00,45600010,197.28,200.43,195.93
NASDAQ,AMZN,Amazon,07/01/2024,197.20,41192010,193.49,198.30,192.82
NASDAQ,AMZN,Amazon,06/28/2024,193.25,76930190,197.73,198.85,192.50
NASDAQ,AMZN,Amazon,06/27/2024,197.85,74397490,195.01,199.84,194.20
NASDAQ,AMZN,Amazon,06/26/2024,193.61,65103890,186.92,194.80,186.26
NASDAQ,AMZN,Amazon,06/25/2024,186.34,45898480,186.81,188.84,185.42
NASDAQ,AMZN,Amazon,06/24/2024,185.57,50610380,189.33,191.00,185.33
NASDAQ,AMZN,Amazon,06/21/2024,189.08,72931750,187.80,189.28,185.86
NASDAQ,AMZN,Amazon,06/20/2024,186.10,44726780,182.91,186.51,182.72
NASDAQ,AMZN,Amazon,06/18/2024,182.81,36659160,183.74,184.29,181.43
NASDAQ,AMZN,Amazon,06/17/2024,184.06,35601910,182.52,185.00,181.22
NASDAQ,AMZN,Amazon,06/14/2024,183.66,25456410,183.08,183.72,182.23
NASDAQ,AMZN,Amazon,06/13/2024,183.83,39721550,186.09,187.67,182.67
NASDAQ,AMZN,Amazon,06/12/2024,186.89,33984220,188.02,188.35,185.43
NASDAQ,AMZN,Amazon,06/11/2024,187.23,27265110,187.06,187.77,184.54
NASDAQ,AMZN,Amazon,06/10/2024,187.06,34494500,184.07,187.23,183.79
NASDAQ,AMZN,Amazon,06/07/2024,184.30,28021470,184.90,186.29,183.36
NASDAQ,AMZN,Amazon,06/06/2024,185.00,31371150,181.75,185.00,181.49
NASDAQ,AMZN,Amazon,06/05/2024,181.28,32116390,180.10,181.50,178.75
NASDAQ,AMZN,Amazon,06/04/2024,179.34,27198390,177.64,179.82,176.44
NASDAQ,AMZN,Amazon,06/03/2024,178.34,30786640,177.70,178.70,175.92
NASDAQ,AMZN,Amazon,05/31/2024,176.44,58903940,178.30,179.21,173.87
NASDAQ,AMZN,Amazon,05/30/2024,179.32,29249230,181.31,181.34,178.36
NASDAQ,AMZN,Amazon,05/29/2024,182.02,32009290,181.70,184.08,181.55
NASDAQ,AMZN,Amazon,05/28/2024,182.15,29926960,179.93,182.24,179.49
NASDAQ,AMZN,Amazon,05/24/2024,180.75,27471640,181.65,182.44,180.30
NASDAQ,AMZN,Amazon,05/23/2024,181.05,33670170,183.66,184.76,180.08
NASDAQ,AMZN,Amazon,05/22/2024,183.13,28148780,183.88,185.22,181.97
NASDAQ,AMZN,Amazon,05/21/2024,183.15,50839130,182.30,183.26,180.75
